ContractManagementCategory,responsibility,quarterly,unit,weight,target,realization,max,min,Input,Monitor
NonFinancial,Operating Ratio Fakultas,TW-4,%,7.5,,,120.0,80.0,,
NonFinancial,Operating Ratio & Cash Collection Telkom University (Common Indikator),TW-4,%,2.5,,,120.0,80.0,,
Financial,Kepuasan Stakeholder,TW-4,,,,,,,,
Financial,Kepuasan Mahasiswa (EDOM),TW-4,%,3.0,82.0,,105.0,80.0,,
Financial,Customer Satisfaction Index,TW-4,%,,,,,,"86,81",
InternalBusinessProcess,Pendidikan Mahasiswa,TW-4,,,,,,,,
InternalBusinessProcess,Lulusan mendapat pekerjaan yang layak,TW-4,%,,,,,,,
InternalBusinessProcess,Kelulusan Tepat Waktu,TW-4,%,,,,,,,
InternalBusinessProcess,DO dan Undur Diri (Turn Over) Mahasiswa Angkatan Habis Masa Studi,TW-4,%,,,,,,,
InternalBusinessProcess,Kelas yang kolaboratif dan partisipatif,TW-4,%,,,,,,,
InternalBusinessProcess,Mahasiswa mendapat pengalaman di luar kampus,TW-4,%,3.0,12.0,,105.0,80.0,,https://bpa.telkomuniversity.ac.id/dashboard-mahasiswa/
InternalBusinessProcess,Jumlah kerjasama infrastruktur laboratorium,TW-4,Jumlah,4.0,2.0,,110.0,80.0,,
InternalBusinessProcess,Riset dan Abdimas,TW-4,,,,,,,,
InternalBusinessProcess,Publikasi Terindex Scopus / WoS,TW-4,Jumlah,4.0,200.0,,110.0,80.0,,
InternalBusinessProcess,Penelitian dan abdimas yang didanai pihak eksternal,TW-4,Jumlah,4.0,40.0,,110.0,80.0,,
InternalBusinessProcess,Peningkatan Sitasi Baru dari paper yang terindeks,TW-4,Jumlah,4.0,1000.0,,110.0,80.0,,
InternalBusinessProcess,International Publication Collaboration,TW-4,Jumlah,4.0,40.0,,110.0,80.0,,
InternalBusinessProcess,Desa Binaan,TW-4,Jumlah,3.0,4.0,,105.0,80.0,,
InternalBusinessProcess,Prestasi Mahasiswa,TW-4,,,,,,,,
InternalBusinessProcess,Prestasi kompetisi (tingkat Internasional/Nasional/Provinsi),TW-4,Skor,5.0,75.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah pendanaan hibah kompetisi belmawa (termasuk innovillage),TW-4,Jumlah,5.0,6.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah dosen yang terlibat membina kompetisi minimal tingkat nasional (Keterlibatan Membimbing),TW-4,Jumlah,4.0,20.0,,110.0,80.0,,
InternalBusinessProcess,Internasionalisasi,TW-4,,,,,,,,
InternalBusinessProcess,Prodi Kelas Internasional dengan Dual/Joint Degree Aktif minimal submit kemendikbud,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Kesiapan Jumlah mahasiswa inbound mobility,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Mahasiswa outbound mobility (short dan long program),TW-4,Jumlah,5.0,675.0,,110.0,80.0,,
InternalBusinessProcess,Sumber Daya Manusia,TW-4,,,,,,,,
InternalBusinessProcess,Performansi Dosen S3 (Sesuai SK yang Ditetapkan),TW-4,%,5.0,100.0,,110.0,80.0,,
InternalBusinessProcess,"Performansi terkait JFA Lektor, Lektor Kepala, dan Guru Besar (Sesuai SK yang Ditetapkan)",TW-4,%,5.0,100.0,,110.0,80.0,,
InternalBusinessProcess,Transformasi Digital dalam Pembelajaran,TW-4,,,,,,,,
InternalBusinessProcess,Mata kuliah menerapkan standard Online Learning,TW-4,%,3.0,90.0,,105.0,80.0,,
InternalBusinessProcess,Jumlah learning factory*,TW-4,Jumlah,4.0,1.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah sertifikasi (untuk mahasiswa),TW-4,Jumlah,4.0,8.0,,110.0,80.0,,
InternalBusinessProcess,Inovasi dan Entrepreneurial University,TW-4,,,,,,,,
InternalBusinessProcess,Penelitian Dosen TRL >=4 Granted PPM,TW-4,Jumlah,5.0,50.0,,110.0,80.0,https://telkomuniversityofficial-my.sharepoint.com/:x:/g/personal/pppi_365_telkomuniversity_ac_id/EYGRi_DMbItOqQ_ogON6OCsBFJhcomA5FNFw2N0b9vhkpg?e=IkJ52h&nav=MTVfezAyQTVBRkY2LTFDQTEtNDBDQy1BRUZELTczQTY1MTk1MkJBMn0,
InternalBusinessProcess,Tim Startup Berbasis Inovasi yang baru,TW-4,Jumlah,5.0,10.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah HKI yang diimplementasikan di industri*,TW-4,Jumlah,5.0,1.0,,110.0,80.0,,
InternalBusinessProcess,Persentase dosen yang berkegiatan tridharma di luar kampus,TW-4,%,,,,,,Jumlah Dosen FEB : 193,
InternalBusinessProcess,Persentase dosen yang memiliki sertifikasi profesi,TW-4,%,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP research di CoE,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah dosen yang ditugaskan untuk terlibat di entrepreneurship berkolaborasi dengan BTP,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP entrepreneurship dan Program Entrepreneurship lainnya di BTP,TW-4,Jumlah,,,,,,,
NonFinancial,Kelengkapan Lapman,TW-4,%,3.0,90.0,,105.0,80.0,Kelengkapan Lapman,
