No,Tahun/Year,Doc. Type,Mitra/Partner,Cakupan/Scope,PIC (Ext),Phone,PIC (Int),No. Document (Int),No. Document (Ext),Doc. Date Created,Wadek II,Wadek I,Ka. Bag. KST,Dir. SPIO,Ka. Ur. Legal,Ka. Bag. Sekpim,Dir. SPS,Dekan,Warek I,Rektor,Signing Type,Doc. Date Signed,Hardcopy,Softcopy,Doc. Link,Valid Until,Tahun,Notes
1,2024,MoA,Association of Chartered Certified Accountants (ACCA),International,,,Ruri Octari Dinata,172/SAM4/EB-DEK/2024,,21-Jun-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,,01-Jul-2024,,,,01/07/2027,3 tahun,
2,2024,MoA,Hannan Medispa Sdn. Bhd.,International,,,,299/SAM4/EB-DEK/2024,001/HM/UT/10/2024,25-Sep-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,,04-Okt-2024,,,,,,
3,2024,MoU,Insititute of Singapore Chartered Accountants (ISCA) Singapore,International,-,-,Prodi Akuntansi,311/SAM4/EB-DEK/2024,,17-Des-2024,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,Dokumen di Prodi
4,2024,MoA,Lal Bahadur Shastri Institute of Management (LBSIM) Delhi India,International,-,-,Heppy Millanyani,412/SAM4/EB-DEK/2024,,6-Des-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,18-Jan-2025,Available,Available,,06-Des-2026,,
5,2024,MoA,Nexmu Sdn. Bhd. Malaysia (LSS),International,-,-,Putri Fariska,376/SAM4/EB-DEK/2024,NexMULSS1.Batch14/2024,13-Nov-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,03-Jan-2025,Available,Available,,,,
6,2024,MoU,SEGI University Malaysia,International,-,-,Ratri Wahyuningtyas,292/SAM3/EB-DEK/2024 ,,,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Desk-to-desk,03-Jan-2025,Available,Available,,,,
7,2024,MoA,SEGI University Malaysia,International,-,-,Ratri Wahyuningtyas,387/SAM4/EB-DEK/2024 ,,,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,17-Jan-2025,Available,Available,,,,
8,2024,IA,SEGI University Malaysia,International,-,-,Ratri Wahyuningtyas,685/SAM05/EB-DEK/2024 ,,,Approved,Approved,Approved,Approved,,,,,,,,,,,,,,
9,2024,MoA,"Universiti Tenaga Nasional (UNITEN), Malaysia",International,-,-,Putri Fariska,,,,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,Belum ditandatangani UNITEN
10,2024,MoA,Fakultas Ilmu Komputer Universitas Indonesia (FASILKOM UI),National,,,Puspita K. S.,308/SAM4/COE-EADT/2024,765/PKS/FASILKOM/UI/2024,1-Okt-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,01-Okt-2024,Available,Available,,30-Sep-2029,,
11,2024,MoU,PT. Angkasa Pura II,National,,,,,,,,,,,,,,,,,,,,,,,,
12,2024,MoU,Sekolah Tinggi Ilmu Ekonomi Sabang (STIES) Banda Aceh,National,Muhammad,6285370608217,Dudi Pratomo,290/SAM3/EB-DEK/2024,190/MoU/STIES/XI/2024,21-Nov-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Desk-to-desk,03-Jan-2025,Available,Available,,,,
13,2024,MoA,Universitas Hayam Wuruk PERBANAS,National,,,,,,,,,,,,,,,,,,,,,,,,Tidak ada balasan dari UHW
14,2024,MoA,Universitas Islam Negeri Sumatera Utara (UINSU) Medan,National,,,,,,,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,
15,2024,MoA,Universitas YASRI,National,-,-,Prodi Akuntansi,,,23-Des-2024,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,Dokumen di Prodi
16,2024,IA,Universitas YASRI,National,-,-,Prodi Akuntansi,807/SAM05/EB-DEK/2024,007/SPA-YARSI/YARSI/IA/XII/2024,18-Des-2024,,,,,,,,,,,,,,,,,,Dokumen di Prodi
